index,model,reference,hypothesis,audio_sec,infer_sec,x_real_time,wer
0,small.en,that's where you have a lot of windows in the south no actually that's passive solar and passive solar is something that was developed and designed in the 1960s and 70s and it was a great thing for what it was at the time but it's not a passive house," That's where you have a lot of windows in the south.
 No, actually that's passive solar.
 And passive solar is something that was developed
 and designed in the 1960s and 70s,
 and it was a great thing for what it was at the time.
 But it's not a passive house.
",15.083,108.46507332300098,0.13905858851986336,0.0
1,small.en,that was passed in the last legislative session," was passed in the last legislative session.
",3.05,92.20573763100037,0.03307820183821796,0.125
2,small.en,very complex really hard to get through," complex, really hard to get through.
",2.64,92.40520623299926,0.028569818818901322,0.14285714285714285
3,small.en,this is a passive house," This is a pass, Pals.
",1.13,92.20672129400009,0.012255071909530409,0.4
4,small.en,i had a hydronic heating or baseboard heating," had a hydraulic heating, you know, baseboard heating.
",2.19,92.95349595900007,0.023560168204603788,0.5
5,small.en,yeah well no i've built it out," Yeah, well no, I built it out.
",2.29,92.59270241600098,0.024731970665587404,0.14285714285714285
6,small.en,never mind the wood," Never mind the word.
",0.86,91.72780837999926,0.009375564675406746,0.25
7,small.en,so it's its own payback," So it's its own page.
",2.17,92.1795067359999,0.023541024212841936,0.2
8,small.en,they just love it it's a great place to raise a family," And they just love it.
 It's a great place to raise a family.
",2.673,93.66886247500042,0.028536697568131625,0.08333333333333333
9,small.en,perm rating is the amount of moisture that it'll led in," permeating is the amount of moisture that will let in.
",3.77,92.89417914300066,0.040583813052446356,0.36363636363636365
10,small.en,here's the window bucks that we put in using this nice jig," Here's the window box that we put in using this nice jig.
",4.5,93.2669749179986,0.04824858964233001,0.08333333333333333
11,small.en,this is actual data from actual houses in vermont," This is actual data from actual houses in Vermont.
",2.75,92.39491658499901,0.029763542212521275,0.0
12,small.en,so the first thing you noticed is that the temperatures inside this house are very even," So the first thing you notice is that the temperatures inside this house are very even.
",4.58,93.53925270499894,0.04896340164748007,0.0625
13,small.en,we like using extruded sorry expanded polystyrene which is what we know as styrofoam," like using expanded polystyrene, which is what we know as styrofoam.
",6.26,93.48731728599887,0.0669609545094683,0.21428571428571427
14,small.en,not me i have a chimney outside the house," not me, I have a chimney outside,
 I was not--
",2.62,93.40682739500153,0.0280493414996365,0.3333333333333333
15,small.en,i've been to their house," I've been to their house.
",1.99,92.12746157699985,0.021600508316803716,0.0
16,small.en,how do i have six inches sticking out but the window starts here how do i actually make that work in the new i just decided to rip it out," How do I have six inches sticking out but the window starts here?
 How do I actually make that work in the new...
 I just decided to rip it out.
",6.87,96.10135141899991,0.07148702800283153,0.0
17,small.en,so a lot of people who've heard about passive house say it's really expensive," So a lot of people who've heard about Passover say it's really expensive.
",4.68,93.49857277599949,0.050054239985161855,0.14285714285714285
18,small.en,this is the solar hot water tank and this is the backup because vermont does not have enough sun in the winter we have very cold winters to give you all of your hot water through that system people were worried that because we're only putting heat into this room without any distribution system or ductworks that this room up here would be cold," This is the solar hot water tank and this is the backup because Vermont does not have
 enough sun in the winter and we have very cold winters to give you all of your hot water
 through that system.
 People were worried that because we're only putting heat into this room without any distribution
 system or duct works that this room up here would be cold.
",21.39,101.66845717900105,0.2103897373237406,0.046875
19,small.en,there's no heating system on in this house," There is no heating system on this house.
",2.17,92.48434671299947,0.023463430051941837,0.375
20,small.en,what we're seeing here is the nice warmth inside," What we're seeing here is the nice warm inside.
",2.76,92.78144609000083,0.029747326823540945,0.1111111111111111
21,small.en,i cannot say to you build a house with these walls and you'll have a passive house because there are too many factors involved," cannot say to you build a house with these walls and you have a passive house because
 there are too many factors involved.
",6.85,94.53828010399957,0.072457421400775,0.08333333333333333
22,small.en,that was pretty much it," pretty much it.
 We wanted the
",1.166,92.24923976799982,0.012639670559154804,1.0
