index,model,reference,hypothesis,audio_sec,infer_sec,x_real_time,wer
0,small.en,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS," Concorde returned to its place amidst the tents.
",3.505,97.63905031799996,0.03589752244193885,0.125
1,small.en,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY," The English forwarded to the French baskets of flowers of which they had made a plentiful
 provision to greet the arrival of the young princess.
 The French, in return, invited the English to a supper, which was to be given the next
 day.
",14.225,96.286695216,0.14773588363469167,0.0
2,small.en,CONGRATULATIONS WERE POURED IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY," Congratulations were poured in upon the princess everywhere during her journey.
",5.025,90.52303766699998,0.05551073107472459,0.0
3,small.en,FROM THE RESPECT PAID HER ON ALL SIDES SHE SEEMED LIKE A QUEEN AND FROM THE ADORATION WITH WHICH SHE WAS TREATED BY TWO OR THREE SHE APPEARED AN OBJECT OF WORSHIP THE QUEEN MOTHER GAVE THE FRENCH THE MOST AFFECTIONATE RECEPTION FRANCE WAS HER NATIVE COUNTRY AND SHE HAD SUFFERED TOO MUCH UNHAPPINESS IN ENGLAND FOR ENGLAND TO HAVE MADE HER FORGET FRANCE," From the respect paid her on all sides, she seemed like a queen, and from the adoration
 with which she was treated by two or three, she appeared an object of worship.
 The Queen Mother gave the French the most affectionate reception.
 France was her native country, and she had suffered too much unhappiness in England for
 England to have made her forget France.
",23.315,100.08419028499998,0.23295387546832474,0.0
4,small.en,SHE TAUGHT HER DAUGHTER THEN BY HER OWN AFFECTION FOR IT THAT LOVE FOR A COUNTRY WHERE THEY HAD BOTH BEEN HOSPITABLY RECEIVED AND WHERE A BRILLIANT FUTURE OPENED BEFORE THEM," She taught her daughter, then, by her own affection for it, that love for a country where they had both been hospitably received and where a brilliant future opened for them.
",11.065,93.72412905499993,0.11805924591208256,0.03225806451612903
5,small.en,THE COUNT HAD THROWN HIMSELF BACK ON HIS SEAT LEANING HIS SHOULDERS AGAINST THE PARTITION OF THE TENT AND REMAINED THUS HIS FACE BURIED IN HIS HANDS WITH HEAVING CHEST AND RESTLESS LIMBS," The Count had thrown himself back on his seat, leaning his shoulders against the partition
 of the tent, and remained thus, his face buried in his hands, with heaving chest and restless
 limbs.
",13.16,94.658593139,0.13902594115967257,0.0
6,small.en,THIS HAS INDEED BEEN A HARASSING DAY CONTINUED THE YOUNG MAN HIS EYES FIXED UPON HIS FRIEND," ""This has indeed been a harassing day,"" continued the young man, his eyes fixed upon
 his friend.
",5.85,92.15078380799991,0.06348291092334846,0.0
7,small.en,YOU WILL BE FRANK WITH ME I ALWAYS AM," You will be frank with me. I always am
",3.315,90.326470471,0.036700205185857517,0.0
8,small.en,CAN YOU IMAGINE WHY BUCKINGHAM HAS BEEN SO VIOLENT I SUSPECT," Can you imagine why Buckingham has been so violent?
 I suspect.
",4.785,91.06776033400001,0.05254329284535537,0.0
9,small.en,IT IS YOU WHO ARE MISTAKEN RAOUL I HAVE READ HIS DISTRESS IN HIS EYES IN HIS EVERY GESTURE AND ACTION THE WHOLE DAY," It is you who are mistaken, Ral, I have read his distress in his eyes, in his every gesture
 and action the whole day.
",7.28,93.18067381700007,0.07812778875475165,0.041666666666666664
10,small.en,I CAN PERCEIVE LOVE CLEARLY ENOUGH," I can perceive love clearly enough.
",3.035,89.91438075199994,0.03375433356284883,0.0
11,small.en,I AM CONVINCED OF WHAT I SAY SAID THE COUNT," I am convinced of what I say,"" said the Count.
",3.195,90.7989430770001,0.03518763425792906,0.0
12,small.en,IT IS ANNOYANCE THEN," It is annoyance then.
",1.94,89.664759581,0.021636147903206854,0.0
13,small.en,IN THOSE VERY TERMS I EVEN ADDED MORE," In those very terms, I even added more.
",2.94,90.33506956199994,0.03254549992881979,0.0
14,small.en,BUT CONTINUED RAOUL NOT INTERRUPTED BY THIS MOVEMENT OF HIS FRIEND HEAVEN BE PRAISED THE FRENCH WHO ARE PRONOUNCED TO BE THOUGHTLESS AND INDISCREET RECKLESS EVEN ARE CAPABLE OF BRINGING A CALM AND SOUND JUDGMENT TO BEAR ON MATTERS OF SUCH HIGH IMPORTANCE," ""But,"" continued Raoul, not interrupted by this movement of his friend, ""heaven be
 praised the French, who are pronounced to be thoughtless and indiscreet, reckless even,
 are capable of bringing a calm and sound judgment to bear on matters of such high importance.""
",16.84,97.04909340799986,0.17352042567985348,0.0
15,small.en,THUS IT IS THAT THE HONOR OF THREE IS SAVED OUR COUNTRY'S OUR MASTER'S AND OUR OWN," Thus, it is that the honor of three is saved, our country, our masters, and our own.
",6.38,91.91524927200021,0.06941176845552563,0.11764705882352941
16,small.en,YES I NEED REPOSE MANY THINGS HAVE AGITATED ME TO DAY BOTH IN MIND AND BODY WHEN YOU RETURN TO MORROW I SHALL NO LONGER BE THE SAME MAN," Yes, I need repose.
 Many things have agitated me today, both in mind and body.
 When you return tomorrow, I shall no longer be the same man.""
",10.015,93.9565056020001,0.10659187392966225,0.13793103448275862
